# NAME,VALUE
K1:VIS-ETMX_IP_SEISALIGN_2_3,0.0
K1:VIS-ETMX_IP_LVDT2EUL_1_1,0.663700044155
K1:VIS-ETMX_IP_LVDT2EUL_1_2,-0.34530004859
K1:VIS-ETMX_IP_LVDT2EUL_1_3,-0.187999978662
K1:VIS-ETMX_IP_LVDT2EUL_2_1,-0.153200000525
K1:VIS-ETMX_IP_LVDT2EUL_2_2,-0.456299901009
K1:VIS-ETMX_IP_LVDT2EUL_2_3,0.63529998064
K1:VIS-ETMX_IP_LVDT2EUL_3_1,0.569199979305
K1:VIS-ETMX_IP_LVDT2EUL_3_2,0.55009996891
K1:VIS-ETMX_IP_LVDT2EUL_3_3,0.564700067043
K1:VIS-ETMX_IP_EUL2COIL_1_1,-2.54389977455
K1:VIS-ETMX_IP_EUL2COIL_1_2,0.312599986792
K1:VIS-ETMX_IP_EUL2COIL_1_3,-0.426300019026
K1:VIS-ETMX_IP_EUL2COIL_2_1,1.78610026836
K1:VIS-ETMX_IP_EUL2COIL_2_2,1.88030040264
K1:VIS-ETMX_IP_EUL2COIL_2_3,-0.659000039101
K1:VIS-ETMX_IP_EUL2COIL_3_1,0.701800048351
K1:VIS-ETMX_IP_EUL2COIL_3_2,-2.25580000877
K1:VIS-ETMX_IP_EUL2COIL_3_3,-0.639299988747
K1:VIS-ETMX_IP_DAMPMODE_1_1,1.0
K1:VIS-ETMX_IP_DAMPMODE_1_2,0.0
K1:VIS-ETMX_IP_DAMPMODE_1_3,0.0
K1:VIS-ETMX_IP_DAMPMODE_1_4,1.0
K1:VIS-ETMX_IP_DAMPMODE_1_5,0.0
K1:VIS-ETMX_IP_DAMPMODE_1_6,0.0
K1:VIS-ETMX_IP_DAMPMODE_2_1,0.0
K1:VIS-ETMX_IP_DAMPMODE_2_2,1.0
K1:VIS-ETMX_IP_DAMPMODE_2_3,0.0
K1:VIS-ETMX_IP_DAMPMODE_2_4,0.0
K1:VIS-ETMX_IP_DAMPMODE_2_5,1.0
K1:VIS-ETMX_IP_DAMPMODE_2_6,0.0
K1:VIS-ETMX_IP_DAMPMODE_3_1,0.0
K1:VIS-ETMX_IP_DAMPMODE_3_2,0.0
K1:VIS-ETMX_IP_DAMPMODE_3_3,1.0
K1:VIS-ETMX_IP_DAMPMODE_3_4,0.0
K1:VIS-ETMX_IP_DAMPMODE_3_5,0.0
K1:VIS-ETMX_IP_DAMPMODE_3_6,0.0
K1:VIS-ETMX_IP_DAMPMODE_SETTING_1_1,1.0
K1:VIS-ETMX_IP_DAMPMODE_SETTING_1_2,0.0
K1:VIS-ETMX_IP_DAMPMODE_SETTING_1_3,0.0
K1:VIS-ETMX_IP_DAMPMODE_SETTING_1_4,1.0
K1:VIS-ETMX_IP_DAMPMODE_SETTING_1_5,0.0
K1:VIS-ETMX_IP_DAMPMODE_SETTING_1_6,0.0
K1:VIS-ETMX_IP_DAMPMODE_SETTING_2_1,0.0
K1:VIS-ETMX_IP_DAMPMODE_SETTING_2_2,1.0
K1:VIS-ETMX_IP_DAMPMODE_SETTING_2_3,0.0
K1:VIS-ETMX_IP_DAMPMODE_SETTING_2_4,0.0
K1:VIS-ETMX_IP_DAMPMODE_SETTING_2_5,1.0
K1:VIS-ETMX_IP_DAMPMODE_SETTING_2_6,0.0
K1:VIS-ETMX_IP_DAMPMODE_SETTING_3_1,0.0
K1:VIS-ETMX_IP_DAMPMODE_SETTING_3_2,0.0
K1:VIS-ETMX_IP_DAMPMODE_SETTING_3_3,1.0
K1:VIS-ETMX_IP_DAMPMODE_SETTING_3_4,0.0
K1:VIS-ETMX_IP_DAMPMODE_SETTING_3_5,0.0
K1:VIS-ETMX_IP_DAMPMODE_SETTING_3_6,0.0
K1:VIS-ETMX_IP_DAMPMODE_RAMPING_1_1,0.0
K1:VIS-ETMX_IP_DAMPMODE_RAMPING_1_2,0.0
K1:VIS-ETMX_IP_DAMPMODE_RAMPING_1_3,0.0
K1:VIS-ETMX_IP_DAMPMODE_RAMPING_1_4,0.0
K1:VIS-ETMX_IP_DAMPMODE_RAMPING_1_5,0.0
K1:VIS-ETMX_IP_DAMPMODE_RAMPING_1_6,0.0
K1:VIS-ETMX_IP_DAMPMODE_RAMPING_2_1,0.0
K1:VIS-ETMX_IP_DAMPMODE_RAMPING_2_2,0.0
K1:VIS-ETMX_IP_DAMPMODE_RAMPING_2_3,0.0
K1:VIS-ETMX_IP_DAMPMODE_RAMPING_2_4,0.0
K1:VIS-ETMX_IP_DAMPMODE_RAMPING_2_5,0.0
K1:VIS-ETMX_IP_DAMPMODE_RAMPING_2_6,0.0
K1:VIS-ETMX_IP_DAMPMODE_RAMPING_3_1,0.0
K1:VIS-ETMX_IP_DAMPMODE_RAMPING_3_2,0.0
K1:VIS-ETMX_IP_DAMPMODE_RAMPING_3_3,0.0
K1:VIS-ETMX_IP_DAMPMODE_RAMPING_3_4,0.0
K1:VIS-ETMX_IP_DAMPMODE_RAMPING_3_5,0.0
K1:VIS-ETMX_IP_DAMPMODE_RAMPING_3_6,0.0
K1:VIS-ETMX_IP_ACC2EUL_1_1,0.649999976158
K1:VIS-ETMX_IP_ACC2EUL_1_2,-0.148300006986
K1:VIS-ETMX_IP_ACC2EUL_1_3,-0.418499976397
K1:VIS-ETMX_IP_ACC2EUL_2_1,-0.009900001809
K1:VIS-ETMX_IP_ACC2EUL_2_2,-0.559800088406
K1:VIS-ETMX_IP_ACC2EUL_2_3,0.910900056362
K1:VIS-ETMX_IP_ACC2EUL_3_1,0.867899954319
K1:VIS-ETMX_IP_ACC2EUL_3_2,0.458000063896
K1:VIS-ETMX_IP_ACC2EUL_3_3,1.04619991779
K1:VIS-ETMX_GASMODAL_MODAL2COIL_1_1,2.01259994507
K1:VIS-ETMX_GASMODAL_MODAL2COIL_1_2,0.614799976349
K1:VIS-ETMX_GASMODAL_MODAL2COIL_1_3,0.148600012064
K1:VIS-ETMX_GASMODAL_MODAL2COIL_1_4,0.036599997431
K1:VIS-ETMX_GASMODAL_MODAL2COIL_1_5,-0.0659999921918
K1:VIS-ETMX_GASMODAL_MODAL2COIL_2_1,1.38109982014
K1:VIS-ETMX_GASMODAL_MODAL2COIL_2_2,0.171600028872
